Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 67.0.3396.87,,2018-06-19 11:44:16,2018-06-19 11:44:28,12.486s,PASSED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 67.0.3396.87,,2018-06-19 11:44:17,2018-06-19 11:44:28,10.945s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-19 11:44:17,2018-06-19 11:44:23,5.388s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-19 11:44:23,2018-06-19 11:44:23,0.660s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-19 11:44:23,2018-06-19 11:44:23,0.130s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:44:23,2018-06-19 11:44:24,0.379s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:44:24,2018-06-19 11:44:24,0.274s,PASSED
click,Chrome 67.0.3396.87,,2018-06-19 11:44:24,2018-06-19 11:44:25,0.544s,PASSED
"Statement - flag = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Another session is currently active with this User ID. You can continue to sign in with this User ID by checking the ""Force Sign In"" option."", false)",Chrome 67.0.3396.87,,2018-06-19 11:44:25,2018-06-19 11:44:25,0.332s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-19 11:44:25,2018-06-19 11:44:28,2.639s,PASSED
